C1	42.55	13.97	90.00	1M	C1206K
D1-1	37.00	37.00	0.00	RG10	CHIPLED_1206
D1-2	42.00	37.00	0.00	RG10	CHIPLED_1206
D10-1	57.00	34.00	0.00	RG5	CHIPLED_1206
D10-2	60.68	34.00	0.00	RG5	CHIPLED_1206
D11-1	52.71	22.22	215.00	RG5	CHIPLED_1206
D11-2	55.56	20.32	215.00	RG5	CHIPLED_1206
D12-1	27.30	21.91	145.00	RG5	CHIPLED_1206
D12-2	24.77	20.32	145.00	RG5	CHIPLED_1206
D13-1	22.64	34.00	0.00	RG5	CHIPLED_1206
D13-2	19.27	34.00	0.00	RG5	CHIPLED_1206
D14-1	23.82	61.37	60.00	RG3	CHIPLED_1206
D14-2	22.32	64.73	60.00	RG3	CHIPLED_1206
D15-1	55.46	61.37	300.00	RG3	CHIPLED_1206
D15-2	57.00	64.73	300.00	RG3	CHIPLED_1206
D16-1	64.37	34.00	0.00	RG3	CHIPLED_1206
D16-2	67.73	34.00	0.00	RG3	CHIPLED_1206
D17-1	59.05	18.10	215.00	RG3	CHIPLED_1206
D17-2	61.91	16.19	215.00	RG3	CHIPLED_1206
D18-1	21.59	18.41	145.00	RG3	CHIPLED_1206
D18-2	19.05	16.83	145.00	RG3	CHIPLED_1206
D19-1	16.22	34.00	0.00	RG3	CHIPLED_1206
D19-2	12.86	34.00	0.00	RG3	CHIPLED_1206
D2-1	32.64	46.00	60.00	RG10	CHIPLED_1206
D2-2	30.50	50.27	60.00	RG10	CHIPLED_1206
D3-1	47.57	46.08	300.00	RG10	CHIPLED_1206
D3-2	49.88	50.38	300.00	RG10	CHIPLED_1206
D4-1	49.00	34.00	0.00	RG10	CHIPLED_1206
D4-2	53.00	34.00	0.00	RG10	CHIPLED_1206
D5-1	47.00	25.86	215.00	RG10	CHIPLED_1206
D5-2	49.65	23.99	215.00	RG10	CHIPLED_1206
D6-1	32.95	25.86	145.00	RG10	CHIPLED_1206
D6-2	30.59	24.27	145.00	RG10	CHIPLED_1206
D7-1	30.32	34.00	0.00	RG10	CHIPLED_1206
D7-2	26.95	34.00	0.00	RG10	CHIPLED_1206
D8-1	28.45	54.37	60.00	RG5	CHIPLED_1206
D8-2	25.68	58.00	60.00	RG5	CHIPLED_1206
D9-1	51.75	54.27	300.00	RG5	CHIPLED_1206
D9-2	53.98	57.79	300.00	RG5	CHIPLED_1206
IC1	36.20	19.69	270.00	LMV358M	SO08
R1	29.85	17.46	0.00	22k	R1206
R10	37.00	31.00	270.00	100	R1206
R11	42.00	31.00	270.00	470	R1206
R12	47.31	18.73	0.00	120	R1206
R13	53.02	15.24	0.00	120	R1206
R14	58.10	7.62	0.00	120	R1206
R15	38.95	7.62	180.00	33k	R1206
R2	26.04	14.08	180.00	22k	R1206
R3	37.15	10.16	0.00	10k	R1206
R4	38.11	13.26	0.00	2M2	R1206
R5	35.24	15.88	180.00	22k	R1206
R6	39.37	4.13	0.00	22k	R1206
R7	49.85	11.75	0.00	27	R1206
R8	47.63	15.24	0.00	27	R1206
R9	44.45	21.27	0.00	27	R1206
T1	46.67	4.76	90.00	BCP53	SOT223
T2	31.75	5.40	270.00	BCP53	SOT223
